Estado,Fecha,Casos,Sospechosos,Negativos,Defunciones,Entretenimiento,Supermercados_y_farmacias,Parques,Transporte_publico,Oficinas,Hogares
AGUASCALIENTES,15/02/2020,0,0,1,0,7,6,6,-14,4,-2
AGUASCALIENTES,16/02/2020,0,0,0,0,9,7,5,1,1,-1
AGUASCALIENTES,17/02/2020,0,0,1,0,1,2,0,-5,12,-2
AGUASCALIENTES,18/02/2020,0,0,1,0,0,-3,3,-4,10,-2
AGUASCALIENTES,19/02/2020,0,0,1,0,-1,-2,-2,-2,9,-1
AGUASCALIENTES,20/02/2020,0,0,0,0,-1,-2,2,0,9,-2
AGUASCALIENTES,21/02/2020,0,0,1,0,-2,-1,1,-8,11,-2
AGUASCALIENTES,22/02/2020,0,0,0,0,0,1,4,-16,4,-1
AGUASCALIENTES,23/02/2020,0,0,0,0,0,1,3,-6,0,-1
AGUASCALIENTES,24/02/2020,0,0,0,0,-4,-3,-2,-4,13,-2
AGUASCALIENTES,25/02/2020,0,0,0,0,-4,-6,-1,-7,10,-2
AGUASCALIENTES,26/02/2020,0,0,0,0,-7,-5,1,-4,10,-1
AGUASCALIENTES,27/02/2020,0,0,1,0,0,0,9,0,10,-2
AGUASCALIENTES,28/02/2020,0,0,2,0,1,9,20,-7,10,-2
AGUASCALIENTES,29/02/2020,0,0,0,0,10,13,39,-12,6,-2
AGUASCALIENTES,01/03/2020,0,0,0,0,9,10,18,-2,2,-2
AGUASCALIENTES,02/03/2020,0,0,0,0,0,5,1,-7,13,-2
AGUASCALIENTES,03/03/2020,0,0,2,0,-1,-1,-1,-11,10,-1
AGUASCALIENTES,04/03/2020,0,0,0,0,-1,1,-4,-6,10,-1
AGUASCALIENTES,05/03/2020,0,0,3,0,0,1,2,-5,10,-2
AGUASCALIENTES,06/03/2020,0,0,2,0,-5,0,-1,-10,13,-2
AGUASCALIENTES,07/03/2020,0,0,0,0,1,2,7,-18,6,-1
AGUASCALIENTES,08/03/2020,0,0,1,0,7,2,9,-10,3,-1
AGUASCALIENTES,09/03/2020,0,0,0,0,-12,-10,-11,-10,-13,6
AGUASCALIENTES,10/03/2020,0,0,3,0,-2,-2,2,-2,9,-2
AGUASCALIENTES,11/03/2020,0,0,1,0,-1,-1,-1,1,9,-1
AGUASCALIENTES,12/03/2020,0,0,4,0,1,2,6,3,8,-2
AGUASCALIENTES,13/03/2020,0,0,1,0,1,9,0,8,3,-1
AGUASCALIENTES,14/03/2020,1,0,1,0,4,13,7,-4,2,-2
AGUASCALIENTES,15/03/2020,0,0,9,0,-2,8,-3,-21,-1,-2
AGUASCALIENTES,16/03/2020,0,0,8,0,-13,5,-12,10,-61,15
AGUASCALIENTES,17/03/2020,1,0,5,0,-8,3,-6,1,-3,3
AGUASCALIENTES,18/03/2020,3,0,17,0,-17,2,-16,-14,-10,7
AGUASCALIENTES,19/03/2020,1,0,12,0,-24,1,-14,-21,-15,8
AGUASCALIENTES,20/03/2020,2,0,17,0,-34,-1,-20,-35,-16,11
AGUASCALIENTES,21/03/2020,1,0,12,0,-37,-5,-21,-42,-9,10
AGUASCALIENTES,22/03/2020,1,0,20,0,-46,-16,-28,-50,-15,9
AGUASCALIENTES,23/03/2020,4,0,18,0,-36,-16,-27,-42,-28,13
AGUASCALIENTES,24/03/2020,0,0,33,0,-39,-18,-29,-43,-33,15
AGUASCALIENTES,25/03/2020,17,0,26,0,-42,-18,-35,-48,-36,17
AGUASCALIENTES,26/03/2020,4,0,36,0,-42,-16,-31,-49,-38,18
AGUASCALIENTES,27/03/2020,6,0,36,0,-45,-12,-31,-55,-37,20
AGUASCALIENTES,28/03/2020,5,0,17,0,-43,-10,-28,-57,-21,14
AGUASCALIENTES,29/03/2020,3,0,29,0,-51,-19,-37,-62,-24,12
AGUASCALIENTES,30/03/2020,4,0,38,0,-40,-17,-34,-55,-41,18
